t,original_y,smoothed_y
0,2.78013,2.78013
0.01,3.10988,3.09332
0.02,3.05257,3.07345
0.03,4.19116,3.44077
0.04,3.00025,3.33134
0.05,4.00605,3.46641
0.06,2.08246,3.23375
0.07,3.63532,3.2921
0.08,2.07111,3.13544
0.09,2.20099,3.02779
0.1,2.35269,2.95703
0.11,3.92949,3.05079
0.12,2.4678,2.99861
0.13,2.77725,2.98007
0.14,1.64605,2.87484
0.15,2.093,2.81641
0.16,2.0845,2.76432
0.17,3.115,2.7882
0.18,3.15989,2.81251
0.19,2.62125,2.80045
0.2,3.14184,2.82127
0.21,1.75253,2.75805
0.22,1.87687,2.70736
0.23,3.26325,2.73853
0.24,3.17647,2.76253
0.25,3.28101,2.79035
0.26,2.54615,2.7775
0.27,4.68657,2.87618
0.28,2.04155,2.83373
0.29,0.624399,2.72304
0.3,2.59563,2.71674
0.31,2.21971,2.69248
0.32,2.17815,2.66766
0.33,3.33604,2.69958
0.34,2.25124,2.67838
0.35,3.50213,2.71699
0.36,1.69745,2.66958
0.37,1.82474,2.63059
0.38,1.81942,2.5934
0.39,3.62671,2.64048
0.4,2.62142,2.63961
0.41,2.52456,2.63443
0.42,2.38144,2.62308
0.43,2.13873,2.60146
0.44,2.15479,2.58159
0.45,4.19413,2.65304
0.46,1.43504,2.59926
0.47,2.9028,2.61262
0.48,2.95644,2.62771
0.49,2.31547,2.61404
0.5,1.80225,2.57858
0.51,2.58937,2.57905
0.52,3.84993,2.63433
0.53,4.14852,2.70007
0.54,2.23999,2.68013
0.55,0.97191,2.6062
0.56,3.2958,2.636
0.57,4.17845,2.70257
0.58,2.98158,2.7146
0.59,4.32538,2.78396
0.6,2.30905,2.76353
0.61,2.88719,2.76884
0.62,3.22755,2.78854
0.63,3.70707,2.82795
0.64,0.630668,2.73374
0.65,3.93773,2.78533
0.66,1.26318,2.72015
0.67,3.80028,2.76638
0.68,1.16849,2.69802
0.69,2.9822,2.71017
0.7,3.35635,2.73779
0.71,1.85413,2.70004
0.72,3.01026,2.71329
0.73,3.61155,2.75164
0.74,2.54511,2.74282
0.75,2.32372,2.72494
0.76,3.17631,2.74419
0.77,1.76956,2.70263
0.78,2.88932,2.71059
0.79,1.75325,2.66977
0.8,1.54082,2.62165
0.81,3.35915,2.65308
0.82,2.59798,2.65073
0.83,3.68577,2.69483
0.84,2.7535,2.69733
0.85,1.48292,2.6456
0.86,3.48908,2.68153
0.87,2.41345,2.67011
0.88,2.18432,2.64942
0.89,2.03259,2.62316
0.9,1.01562,2.55471
0.91,3.25935,2.58471
0.92,1.76056,2.54963
0.93,4.13311,2.61703
0.94,2.78541,2.6242
0.95,3.83586,2.67578
0.96,3.55862,2.71335
0.97,4.24651,2.77861
0.98,3.04294,2.78986
0.99,3.54002,2.82179
1,2.44413,2.80571
1.01,1.76792,2.76155
1.02,2.81041,2.76363
1.03,2.23349,2.74107
1.04,1.74743,2.69879
1.05,3.82598,2.74675
1.06,3.45063,2.7767
1.07,2.6151,2.76983
1.08,4.30275,2.83505
1.09,2.47834,2.81987
1.1,3.4068,2.84485
1.11,4.4461,2.91298
1.12,5.9181,3.04084
1.13,4.16773,3.08879
1.14,2.82577,3.0776
1.15,3.51662,3.09628
1.16,4.66214,3.1629
1.17,4.20326,3.20716
1.18,4.80337,3.27508
1.19,1.38042,3.19447
1.2,3.23275,3.1961
1.21,4.19526,3.23861
1.22,5.56911,3.33776
1.23,5.17319,3.41585
1.24,4.1952,3.449
1.25,4.15998,3.47925
1.26,3.92515,3.49822
1.27,3.80782,3.5114
1.28,4.42892,3.55043
1.29,3.25223,3.53774
1.3,3.58359,3.5397
1.31,4.48428,3.57988
1.32,4.74286,3.62936
1.33,4.50084,3.66644
1.34,4.2513,3.69132
1.35,3.79965,3.69593
1.36,4.38249,3.72514
1.37,3.16639,3.70137
1.38,3.68065,3.70048
1.39,4.34671,3.72798
1.4,4.48687,3.76026
1.41,4.71036,3.80068
1.42,4.18545,3.81705
1.43,4.58839,3.84987
1.44,6.1623,3.94825
1.45,3.7211,3.93858
1.46,3.45561,3.91804
1.47,5.09594,3.96815
1.48,3.41811,3.94475
1.49,4.29466,3.95964
1.5,3.13871,3.92471
1.51,6.36807,4.02866
1.52,4.9166,4.06644
1.53,4.98796,4.10564
1.54,4.57262,4.12551
1.55,1.79481,4.02635
1.56,5.20904,4.07667
1.57,5.14911,4.12229
1.58,4.88946,4.15493
1.59,4.28382,4.16041
1.6,4.90861,4.19224
1.61,4.2426,4.19439
1.62,4.03764,4.18772
1.63,5.07632,4.22552
1.64,3.83161,4.20876
1.65,4.98806,4.24192
1.66,5.18087,4.28186
1.67,6.28698,4.36717
1.68,6.21663,4.44585
1.69,6.34746,4.52675
1.7,6.74973,4.62132
1.71,6.00319,4.68011
1.72,7.38112,4.79502
1.73,4.67406,4.78988
1.74,5.81069,4.83331
1.75,5.28968,4.85272
1.76,4.64594,4.84393
1.77,6.34543,4.9078
1.78,4.9873,4.91119
1.79,7.04274,5.00187
1.8,4.64934,4.98687
1.81,4.74897,4.97675
1.82,6.80318,5.05445
1.83,6.22156,5.10411
1.84,4.42417,5.07518
1.85,4.86124,5.06608
1.86,6.59291,5.13103
1.87,6.1797,5.17565
1.88,6.93866,5.25065
1.89,7.35274,5.34008
1.9,6.79226,5.40186
1.91,6.16898,5.4345
1.92,6.54973,5.48194
1.93,6.21623,5.51318
1.94,7.04874,5.57851
1.95,7.52509,5.66133
1.96,6.04,5.67744
1.97,8.28396,5.78833
1.98,6.92399,5.83664
1.99,7.18926,5.89419
2,6.17855,5.90628
2.01,6.85815,5.94678
2.02,8.04706,6.03613
2.03,7.39812,6.09408
2.04,9.13099,6.22328
2.05,6.42581,6.23189
2.06,6.3751,6.23799
2.07,7.49644,6.29152
2.08,8.16284,6.37114
2.09,6.59815,6.38079
2.1,7.76922,6.43986
2.11,9.79309,6.58252
2.12,8.07511,6.64602
2.13,6.60683,6.64435
2.14,8.14969,6.70839
2.15,7.73898,6.75224
2.16,7.83736,6.7984
2.17,8.12434,6.85481
2.18,7.11353,6.86582
2.19,8.49238,6.93502
2.2,8.23973,6.99053
2.21,9.08574,7.07966
2.22,8.50077,7.14012
2.23,8.85422,7.21305
2.24,9.50542,7.31057
2.25,9.0027,7.38256
2.26,9.78262,7.48467
2.27,10.1132,7.59649
2.28,8.31824,7.6272
2.29,9.41714,7.70335
2.3,8.98015,7.75767
2.31,6.60967,7.70883
2.32,8.69687,7.75086
2.33,8.73751,7.79284
2.34,10.0417,7.88851
2.35,10.1622,7.98524
2.36,10.3676,8.0866
2.37,10.9191,8.2071
2.38,9.79909,8.27483
2.39,9.71378,8.33605
2.4,10.7778,8.43993
2.41,9.90251,8.50215
2.42,9.66844,8.55177
2.43,10.448,8.63244
2.44,10.4943,8.71165
2.45,9.68452,8.75304
2.46,10.9476,8.8464
2.47,11.7396,8.96949
2.48,10.8973,9.0515
2.49,9.92508,9.08867
2.5,8.12914,9.04785
2.51,10.9186,9.12744
2.52,12.9179,9.2887
2.53,10.3961,9.33581
2.54,12.7219,9.47987
2.55,10.6176,9.52827
2.56,11.8374,9.62651
2.57,10.9241,9.68171
2.58,10.7521,9.72725
2.59,10.4804,9.75929
2.6,11.4835,9.83264
2.61,9.98215,9.839
2.62,11.6943,9.91793
2.63,10.8458,9.95741
2.64,13.4859,10.1075
2.65,11.6758,10.1742
2.66,11.7356,10.2407
2.67,11.2194,10.2823
2.68,12.8705,10.3924
2.69,12.1234,10.4661
2.7,11.5571,10.5125
2.71,11.8766,10.5705
2.72,12.7136,10.6617
2.73,13.3137,10.7745
2.74,12.0274,10.8278
2.75,9.24146,10.7603
2.76,12.2135,10.8221
2.77,14.1356,10.9631
2.78,14.0865,11.096
2.79,12.8457,11.1704
2.8,13.0118,11.2488
2.81,15.0556,11.4107
2.82,12.5353,11.4586
2.83,13.4341,11.5426
2.84,11.7727,11.5524
2.85,13.8769,11.6513
2.86,10.7896,11.6146
2.87,14.7272,11.7471
2.88,13.8004,11.8344
2.89,13.2193,11.8933
2.9,13.6721,11.969
2.91,12.7365,12.0017
2.92,13.4288,12.0624
2.93,13.6225,12.1287
2.94,12.2549,12.1341
2.95,14.4831,12.234
2.96,14.0448,12.3111
2.97,14.8302,12.4183
2.98,13.0948,12.447
2.99,13.5487,12.4939
3,18.5248,12.7505
3.01,16.2143,12.8978
3.02,14.5476,12.968
3.03,16.0124,13.0975
3.04,15.1314,13.1841
3.05,13.991,13.2184
3.06,15.2304,13.304
3.07,14.7459,13.3653
3.08,15.1687,13.4421
3.09,16.0566,13.5533
3.1,16.359,13.6727
3.11,17.0747,13.8174
3.12,17.4654,13.9726
3.13,15.7494,14.0482
3.14,17.7733,14.2067
3.15,17.5289,14.348
3.16,17.3739,14.4767
3.17,18.0931,14.6306
3.18,17.1111,14.7361
3.19,16.6451,14.8173
3.2,16.4381,14.8863
3.21,18.3594,15.034
3.22,17.4412,15.1365
3.23,17.8381,15.2514
3.24,16.7422,15.3148
3.25,19.4007,15.4886
3.26,17.2253,15.5625
3.27,17.0056,15.6239
3.28,17.6543,15.7103
3.29,17.3213,15.7788
3.3,19.1317,15.9215
3.31,18.0865,16.0136
3.32,17.282,16.0675
3.33,17.829,16.1425
3.34,17.8156,16.2137
3.35,19.1143,16.3371
3.36,17.9852,16.4072
3.37,18.6454,16.5024
3.38,18.5307,16.5887
3.39,19.1024,16.6956
3.4,19.7218,16.8244
3.41,20.9095,16.9982
3.42,18.3153,17.0542
3.43,18.3449,17.1091
3.44,17.555,17.1281
3.45,19.3658,17.2233
3.46,19.6524,17.3266
3.47,17.1471,17.319
3.48,22.2209,17.5275
3.49,20.7958,17.6666
3.5,20.4598,17.7854
3.51,22.8751,18.0019
3.52,20.7685,18.1196
3.53,18.0199,18.1154
3.54,22.934,18.3204
3.55,20.4157,18.4095
3.56,22.3849,18.5787
3.57,22.7371,18.7556
3.58,22.234,18.9036
3.59,20.2083,18.9591
3.6,21.8155,19.0806
3.61,22.2425,19.2151
3.62,24.1459,19.4249
3.63,21.8353,19.5274
3.64,23.2176,19.6844
3.65,21.9688,19.7816
3.66,22.5139,19.8978
3.67,22.7266,20.0182
3.68,22.7306,20.1336
3.69,22.867,20.2499
3.7,22.8697,20.3613
3.71,21.9822,20.4303
3.72,25.1631,20.6316
3.73,22.6399,20.7171
3.74,23.3185,20.8277
3.75,25.2024,21.0139
3.76,23.2279,21.108
3.77,23.0211,21.1894
3.78,24.7262,21.3399
3.79,22.6202,21.3944
3.8,24.7352,21.5365
3.81,24.4883,21.6621
3.82,25.1883,21.8121
3.83,23.0835,21.8662
3.84,24.1199,21.9621
3.85,23.7469,22.038
3.86,26.8873,22.2443
3.87,25.4559,22.3809
3.88,24.0905,22.4537
3.89,25.536,22.5848
3.9,25.2096,22.6965
3.91,26.7319,22.8681
3.92,26.0351,23.0029
3.93,26.8172,23.1652
3.94,26.37,23.3015
3.95,25.3017,23.3866
3.96,27.6004,23.5659
3.97,24.4016,23.6014
3.98,27.9273,23.7855
3.99,26.2116,23.8887
4,27.4471,24.0401
4.01,26.565,24.1475
4.02,26.3286,24.2403
4.03,26.4668,24.335
4.04,28.1709,24.4982
4.05,27.0751,24.6078
