Day,Original,Filtered,Prediction
1,100.497,100.497,0
2,100.358,100.375,0
3,101.006,100.853,0
4,102.529,102.094,0
5,102.295,102.462,0
6,102.061,102.437,0
7,103.64,103.286,0
8,104.408,104.157,0
9,103.938,104.302,0
10,104.481,104.603,0
11,104.017,104.437,0
12,103.551,104.011,0
13,103.793,103.877,0
14,101.88,102.697,0
15,100.155,101.034,0
16,99.5929,99.8272,0
17,98.5801,98.6843,0
18,98.8944,98.3624,0
19,97.9863,97.8109,0
20,96.574,96.7978,0
21,98.0397,97.1718,0
22,97.8139,97.3773,0
23,97.8814,97.5927,0
24,96.4567,96.9192,0
25,95.9123,96.2253,0
26,96.0232,95.9324,0
27,94.8722,95.1621,0
28,95.2479,94.9948,0
29,94.6473,94.6289,0
30,94.3556,94.3097,0
31,93.7539,93.8366,0
32,95.6062,94.6909,0
33,95.5927,95.2315,0
34,94.535,94.9222,0
35,95.3575,95.1878,0
36,94.1367,94.6288,0
37,94.3455,94.4127,0
38,92.3859,93.1748,0
39,91.0577,91.7226,0
40,91.2545,91.0872,0
41,91.993,91.2805,0
42,92.1644,91.6074,0
43,92.0487,91.7929,0
44,91.7476,91.7496,0
45,90.2691,90.8761,0
46,89.5492,89.9668,0
47,89.0886,89.2311,0
48,90.1457,89.5026,0
49,90.4893,89.9479,0
50,88.7263,89.2277,0
51,89.0504,89.0083,0
52,88.6653,88.7017,0
53,87.9884,88.1735,0
54,88.6001,88.2663,0
55,89.6311,88.9701,0
56,90.5623,89.9411,0
57,89.7231,89.9932,0
58,89.4139,89.7809,0
59,89.7452,89.8075,0
60,90.7207,90.3699,0
61,90.2415,90.4022,0
62,90.0559,90.2755,0
63,88.9496,89.5373,0
64,87.7533,88.4136,0
65,88.5659,88.2737,0
66,89.9221,89.0588,0
67,89.8501,89.5256,0
68,90.8536,90.3694,0
69,91.2153,91.0339,0
70,90.5701,90.9785,0
71,90.9315,91.0802,0
72,92.4696,91.9818,0
73,92.4338,92.4416,0
74,93.9984,93.5385,0
75,91.3787,92.5812,0
76,92.2006,92.4055,0
77,92.2876,92.3396,0
78,91.9886,92.1283,0
79,92.0804,92.0635,0
80,90.0928,90.8905,0
81,89.8731,90.1048,0
82,90.2302,89.9323,0
83,91.7081,90.7751,0
84,91.1899,91.0226,0
85,90.3814,90.694,0
86,89.8796,90.2011,0
87,90.795,90.4563,0
88,91.1238,90.8236,0
89,90.594,90.7339,0
90,91.1073,90.9641,0
91,91.2043,91.1467,0
92,92.173,91.7956,0
93,91.4709,91.741,0
94,91.1433,91.473,0
95,90.7512,91.0656,0
96,89.2876,89.983,0
97,89.5838,89.5547,0
98,89.8448,89.5309,0
99,89.8499,89.5883,0
100,89.6153,89.5306,0
101,0,0,89.3981
102,0,0,89.2655
103,0,0,89.133
104,0,0,89.0005
105,0,0,88.8679
106,0,0,88.7354
107,0,0,88.6029
108,0,0,88.4703
109,0,0,88.3378
110,0,0,88.2053
